id=DefaultIconName,hash=-171003702
id=TitlebarActiveForeColour,hash=642361635
id=TitlebarInactiveForeColour,hash=-35329384
id=ApplicationBackColour,hash=-35660577
id=WindowBackColour,hash=-790249177
id=PlayerSplitProgressYOffset,hash=512591286
id=AutoHideMenu,hash=-141549421
id=MenuButton.Default,hash=-513307714
id=MenuButton.Border,hash=-1696672775
id=MenuBar.Default,hash=415729634
id=MenuBarSeparator,hash=-1233618
id=Menu.ParentItem.Highlight,hash=1506082618
id=Menu.ParentItem.Pressed,hash=1832301390
id=Menu.DropDownMargin,hash=427212835
id=Menu.DropDown.Default,hash=1278778846
id=Menu.DropDown.Disabled,hash=-939614623
id=Menu.DropDown.Highlight,hash=66731100
id=Menu.DropDownSeparator,hash=1067992713
id=Menu.DropDownCheckBox.Default,hash=-653737108
id=Menu.DropDownCheckBoxBorder.Default,hash=-529536699
id=Menu.DropDownCheckBox.Highlight,hash=-289653438
id=Menu.DropDownCheckBoxBorder.Highlight,hash=-1697670355
id=MainPanelSeparatorMargin,hash=1472580081
id=MainPanelMargin.Left,hash=481567871
id=MainPanelMargin.Right,hash=-251487655
id=MainPanelMargin.Top,hash=-1865682527
id=MainPanelMargin.Bottom,hash=-612324223
id=ScrollBarMargin,hash=1680088117
id=MenuBarDock,hash=-1389504848
id=InlineMenuBar.Default,hash=1489013162
id=InlineMenu.ParentItem.Highlight,hash=-1073094901
id=InlineMenu.ParentItem.Pressed,hash=-1324833660
id=MainPanelTopBorder,hash=461515725
id=Panel.Header.Default,hash=279268961
id=Panel.HeaderControl.Default,hash=-1886022506
id=Panel.HeaderControl.Highlight,hash=1380498375
id=Panel.Body.Default,hash=-1127744885
id=Panel.Body.Highlight,hash=2117206110
id=Panel.Body.Lowlight,hash=1226065674
id=Panel.SubHeader.Default,hash=1128738468
id=Panel.TabSelector.Default,hash=-214584038
id=Panel.TabSlelector.Highlight,hash=-814028370
id=Panel.TabSelector.Lowlight,hash=-1951105063
id=Controls.TabSelectedButton,hash=1507968930
id=Panel.SectionHeader.Default,hash=-262466487
id=InputPanel.Default,hash=1033908931
id=InputPanel.Highlight,hash=-1287843368
id=Controls.InputControl.Default,hash=1299922867
id=Panel.ChildHeader.Default,hash=1039396355
id=Panel.ChildHeaderControl.Default,hash=-784498979
id=Panel.ChildHeaderControl.Highlight,hash=-1717025043
id=Panel.ChildBody.Default,hash=-1321724196
id=Panel.ChildBody.Highlight,hash=-589868747
id=Panel.ChildBody.Lowlight,hash=-675187223
id=Panel.StatusBar.Default,hash=1800360169
