id=DefaultIconName,hash=-171003702
id=TitlebarActiveForeColour,hash=642361635
id=TitlebarInactiveForeColour,hash=-35329384
id=ApplicationBackColour,hash=-35660577
id=WindowBackColour,hash=-790249177
id=PlayerSplitProgressYOffset,hash=512591286
id=AutoHideMenu,hash=-141549421
id=MenuButton.Default,hash=-513307714
id=MenuButton.Border,hash=-1696672775
id=MenuBarDock,hash=-1389504848
id=MenuBar.Default,hash=415729634
id=MenuBarSeparator,hash=-1233618
id=Menu.ParentItem.Highlight,hash=1506082618
id=Menu.ParentItem.Pressed,hash=1832301390
id=Menu.DropDownMargin,hash=427212835
id=Menu.DropDown.Default,hash=1278778846
id=Menu.DropDown.Disabled,hash=-939614623
id=Menu.DropDown.Highlight,hash=66731100
id=Menu.DropDown.HighlightText,hash=217799158
id=Menu.DropDownSeparator,hash=1067992713
id=Menu.DropDownCheckBox.Default,hash=-653737108
id=Menu.DropDownCheckBoxBorder.Default,hash=-529536699
id=Menu.DropDownCheckBox.Highlight,hash=-289653438
id=Menu.DropDownCheckBoxBorder.Highlight,hash=-1697670355
id=InlineMenuBar.Default,hash=1489013162
id=InlineMenu.ParentItem.Highlight,hash=-1073094901
id=InlineMenu.ParentItem.Pressed,hash=-1324833660
id=MainPanelSeparatorMargin,hash=1472580081
id=MainPanelMargin.Left,hash=481567871
id=MainPanelMargin.Right,hash=-251487655
id=MainPanelMargin.Top,hash=-1865682527
id=MainPanelMargin.Bottom,hash=-612324223
id=ScrollBarMargin,hash=1680088117
id=MainPanelTopBorder,hash=461515725
id=Panel.Header.Default,hash=279268961
id=Panel.HeaderControl.Default,hash=-1886022506
id=Panel.LocationBarEdit.Default,hash=168582322
id=Panel.CommandButtonOverride,hash=598573006
id=Panel.CommandIconOverride,hash=-324380038
id=Panel.HeaderButtonOverride.Default,hash=-1259481447
id=Panel.HeaderButtonOverride.Disabled,hash=-9730090
id=Panel.HeaderButtonOverride.Highlight,hash=1510603682
id=CaptionBar.CommandButtonOverride,hash=-1375236156
id=CaptionBar.CommandIconOverride,hash=440065357
id=Panel.SubHeader.Default,hash=1128738468
id=Controls.SearchBox.Default,hash=-1081090488
id=Controls.SearchBox.Lowlight,hash=551864024
id=Controls.SearchBoxSplitter,hash=-489636158
id=Panel.SearchBox,hash=978388434
id=CaptionBar.SearchBox.Default,hash=549790950
id=CaptionBar.SearchBox.Lowlight,hash=-1569109829
id=TabsBar.Background,hash=516701667
id=TabsBar.Tab.Default,hash=1731383843
id=TabsBar.Tab.Highlight,hash=-1099919823
id=TabsBar.DropCursor,hash=347458317
